Date,Title,Content,Type
21/08/2023,The Numquid,"Go dive deep to the depths, be painted blue, 
in a sea forage clinging to her back.

Ashore, the sun sinks in her broken light.
Night calms, as a humming snore tidal sneaks

to’nother land in search of brighter balm.
Handing an ash tree leaf unto her,

under foliage grins the Numquid.
Resting in  blurred her-

rise on the coming day. Breathing wind,
and riding on, off to the bushy sway

of greenest, lushest place. The willow
hushed and laced a new dream under eyes	

and no sound or fewer could arise
the thunder she had drowned. The Numquid,

deep in depths, bids farewell, forgotten sun.",Poem
21/08/2023,Faded Hue,"Finding yourself always searching for pockets
of peace, under the moss of evening,
but it 
seems to be already fading.
The bird tosses and preens at it. 
Leaving it bare to the bone. 
Then,
dusk moves on and it falls -
swinging to and fro in silence -
and soles of creatures go cracking through autumn.",Poem
23/08/2023,Stillness,"you must allow
yourself stillness
after the leaves
have blown

you feel the 
arriving brushstroke
of autumn on 
your rested cheek

you must allow 
yourself stillness
in preparation of
the dying flowers

beating from the wind
your breath’s sound
a silence unheard
lasting in the air

the pond ripples
as you are swept
out to sea the
water sings lullabies

you must allow
yourself stillness
as the sheep sleep
under the winter moon

soon the ice
stops flowing from
the mountain heights
the rocks remain

lakes freeze tight
around the beating
hearts that slow
like the snowfall

great earth is yearned
for hidden beneath
a lost landscape
to nature’s feet

you must allow
yourself stillness
when no rain falls
under forest canopies

the waterfalls begin
to whisper-tepid
their secrets
once again

your arm against 
warming skin
a butterfly goes out
in fresh search

and the daffodils
paint the floor
a house for all
a mirror to the sun

evening opens
it’s bright eyes
the stars look
back in wonder

you must allow
yourself stillness
else you will find
it already gone

you must allow
yourself stillness",Poem
23/08/2023,Shade of the Clock,"There’s something about
it, about turning up the
cotton cuffs and leaning into 

the mode, after coming 
home, chased out by the
day and now handed

quietude. It’s served in
a glass where it can glow
under the shade of the clock.

Washed beneath barrelled
waves, no amount of soft
music, no jazz of such, can

really help much for you to 
take stock of the hour. You
know that youth sits happy, 

curled in evenfall locks,
and it plays away with the 
truth. But, despite all efforts

the time turns and frays as 
the stars reach their chambers,
and the thoughts pass away.

Tomorrow, will flutter no
care for that longing shade
and the air will once again

be filled fresh-full. In the caught
scent of it all, let the thoughts
run and let the slow drinks flow.",Poem
01/09/2023,1875; or Duo’s Poema,"Il vento corsa e
il tempo gira intorno
ma che cosa, e poi,
continueremo scrivere
feremo?
Ti sto scrivendo per 
l’ora, per questo 
è perché scriviamo.",Poem
07/09/2023,Lifted Seasons,"It’s six minutes fast,
and each day I ride
it without an inch
of thought. Only now
I gave her my hard
attention. I take
the hot hours easily,
too carefree, and lost,
I am made inside.
So smooth, rising soft,
she glides air-con fresh.
The tarmac is fierce out
there, outside beneath
the last weeks wicked in
heat-enraged summer sun.
She can’t join me here,
I can pause and hide
and count  the minutes 
out. Tomorrow will fall
in my sight again,
and soon when the cold
returns snapping, fall
in gold wrapped dress,
I’ll forget the lift
was six minutes fast.",Poem
14/09/2023,Before Michaelmas; or After Trinity,"If there is a four foot box 
with a foot for every year,
then yours will reach and reach on,
cast to sea like a vast pier.

Yours will keep on finding me,
though the tides be out and lost,
and I will hear the washing waves
even when they’re turned to frost.

If there is a memory
still to run it’s zoetrope,
it will be yours that will turn 
as the time slips down it’s slope.

So when my skin outgrows me,
when just the thoughts keep me young,
I will tell them all of you
until my last breath is sung.",Poem
18/09/2023,Good Morning,"The Sun has lost its morning,
and the death heavy tonne
is placed firmly inwards.

In shadowed following,
the swallows in their tails,
are washed together,
suited and stuffed in their 
black feathers.

The clouds have never seen
such a crowd gather at this house of late;
standing deserted, 
it’s been gifted a great garden,
with a bosom of fruit for every plate.
So you see, when they said-

In mourning, hearing that
lingering somber tone,
I flinched,

alone and face to face and staring
into an irony that birthed an omen,
sick with a warning tipped tongue.",Poem
02/10/2023,Postcards of a Dead Soldier,"I
“These postcards, Captain! Poems! Written, see!”
so cried the soldier boy, with words that formed
like streams in rushed gushes, out prying free.
Whilst knelt, the boy still wept,
and with a hand inside the chest now torn,
he gripped at paper pages that adorned
the dead man’s greyed-out heart.
The fragments bled and bled in ink turned red,
the stamps all faceless, buried by the dirt,
while wiping youthshed tears the boy then said,
“No address. None Sir, none.”
But still the boy could read by moonlit sky
those deathly poems: postcards sans reply,
	once lost, now caught by him.

II
“Oh, leave them be before the winds and rain
come lashing belts on us,” the Captain spoke,
“What else, what else is left for us to gain.”
	“We risk our lives for what?
For poetry, oh save your beating heart.
The time it slips, it fast doth fall apart.”
	“Then go and grant me peace,”
bayed the boy, “this hand from death sings so sweet.
My mind is fixed, my soul entrapped, so go!
Forgotten postcards bind and keep my feet.”
 	The clouds now bent their horns
and thunder claimed it’s darkened sky with fear,
and on horseback the Captain rode his bier
	not knowing death so close.

III
No darkness since that night has screamed as loud,
Lo! send no help, the swansong words inked down
whilst rain did flood and drown that boy who vowed
	to cast those postcards high.
And as he did a raven flew to thee
and took in beak the dead mans’ poetry.
	The flood, in time, gave way
and left the crumbled stone of statues ruined,
the great halls buried deep beneath the mud,
and so too the voice of the land loosened.
	No sound came from the streams,
but somewhere, past grit and forgotten dust,
there lies those postcards which in you they trust-
	there waiting on your breath.",Poem
06/10/2023,Openings,"I have traded it for initiative.
The days buried beneath books that 
left you bruised, and sore to the thought.
The rolling wheel of rising with 
grave-eyes to sleeping halls,
shuffling in on a still dreaming wave.
It coming after evening wicks have
burnt to the morning,
taking glōm in passing-
and the threads are cut short.
I’ve lost a piece somewhere,
trying to walk with the
world in parallel,
but we’re of the same chalk,
all afraid of loosening into
another someone.

I left on foot, in search
of something better, taking turns,
reaching outposts, walking through
thick gorse. Left pinned
by all the mind can offer,
after it all, I am trapped-
as we are, collected in symphony.

Take the sacrifice and stay till the end.
When it’s over and your crown of hope 
lies decaying in the patchwork soil
disfigured without any traces of the past,
thinking over all the places you never
set your feet,
be proud that you never resigned 
your heart to it.
Tomorrow the door will be left
open for you to stand in.
and the games will be set up again,
so for now breathe-
the earth looks back at you,
waiting on your move.",Poem
18/10/2023,Crucially,"What is the summation of it,
of me, of you and all?

How does the heart find
another breath to slide into
day after day?

The Gods have pulled the
mountains, granite and grit,
out of the earth
for us. 

Should we leave them desolate,
let them slip in dimensions 
back under?
Billions of years have passed untouched
so don’t close your newborn eyes.

This life, an eggshell of your skin,
is sport and story, a tale that ropes
us together.
So I beg, do not stay 
with me. 

Leave. It calls in your voice,
but return and call your voice
to mine.",Poem
26/10/2023,Semidiurnal,"I will always feel it,
submerged in my ebbing mind.
Still, I am here, with thoughts
moved by celestial bodies,
turned to see the lunar light of the
first year when we could taste its glow
like silverberries. 
Our shared springs will
wilt and we’ll stand neap wishing the sea 
unveils the memory. But as it rises, 
the orange rays will be swept 
through to green and blue.
And though the distance, like 
a ghostly ferryman, separates us now,
the sound, a call from you,
will join my heart in overtide.",Poem
01/11/2023,Information,"Here, in this room and listening
to a voice arrive in a lecture,
there exists a barrier between bodies.

It separates, like hands embraced
with fingers wrapped and held tight,
holding two chests at bay,
like a river between neighboring beaches.

A mind can live in a nonspace,
and in the darkness,
the iris of the eyes opens wide,
blooming
as everything is bridged in the embrace,
and I believe I am starting to see into you.

With each spent hour, the information unravels 
as if the universe has been torn
and it’s threads are pulled over the naked forms,
until all has become homogeneous 
with one knowledge.

In this photograph of an element reduced,
humanity is derived.",Poem
06/11/2023,Silvering,"Under a thin sheet of drunkenness
I find myself amidst the questions.
With only the weight of a woollen 
blanket pressing on my chest, 
I look into the cracked crevice 
of the hour;
and in it, 
I find faces passing my eyes 
yet they cannot look back to mine. 
I can feel the seconds slide
over my numbed skin 
and in this habitat 
I am glad that I’ve found you.

The cherry blossoms and the peach pink sky 
that shroud Mount Fuji-
posted on my wall-
peels off and lays a hand 
across my thoughts. 
I am bound to it,
the world’s environments, 
so may I keep on finding you
bare on foreign shores.",Poem
09/11/2023,Burnt Language,"A peppered stubble grits my chin-
it’s not been shaved in days.
And now the whisky rests its head
upon my desk, and glows
as lamplight (like a suit that hugs)
now wraps me. Black tied sky,
with stars in brightest play, now dance
and I’m a fragment writing smoke.

No hope can near my soul,
and I should wish you hear my tune,
quite laced in music’s notes.

If you breathe so close to me,
I’ll be glad to find you tight. 
I beg do listen to the words
and find me hidden in them. ",Poem
12/11/2023,Incense,"I can still smell the heat of your skin
in mine,
like the oil has infused, sunk deep,
burrowed into the tissue-
and now the afternoon
is in its fullest breath.

Writing in this room, with Autumn
falling away outside
and the sharp air cutting the moment,
split into slices of time too thin to eat,
it is lost to you.

When whisper-close,
who is expected to arrive and to find, 
who is left and given to this moment
besides us?

I have burnt the last stick of incense
and, so, bought another box.
The smoke now rises to take its leave,
drifting out through the window,
softly placing goodbyes on the forehead
and leaving behind its scented kiss.",Poem
22/11/2023,Poem for Camille,"By studio walls, in the wind of her breath
and under the touch of her hand,
Sakuntala in plaster rose to stand,
with her love in her mind sent to death.

Long forgotten by The King of her heart,
the royal ring is swept in the swell
of the river, by flowers faded past pastel,
and so, by her tools, she began to chart.

The days stretched over, filling in tired eyes
that opened like petals to see the pale figure
in marble, in kneeled embrace, his love in reprise.

Not all in art, with its silver sheen glow,
is as pure or so true, and so life finds its end
left in some grave from which new trees grow. ",Poem
23/11/2023,Under the Ginkgo Tree,"I saw a man walking the lane that cuts
our college in two.
He let himself move without haste
along the cobbles and under the ginkgo tree,
who’s leaves had dappled the stones,
and turned them to an autumnal sea. 

His beret, rounded, flat and grey,
like a meadow mushroom upon his head,
turned to seek through the gates
a sight of the university, old in its way.
Perhaps, I wondered, he had once worn
my boots, or my jumper and coat. 
Maybe it was here he founded his roots.

And under that hat, its shadow cast so dim,
as dusk floated over, just finding its place,
I glanced at a face that looked 
as if made paper thin. In thirty-odd years,
I may find myself just as so, and I hope
to heaven that when those years 
come marching forward and find me
I may walk just as slow.",Poem
29/11/2023,Nude Mountain,"There you stood bare and exposed,
fair and blue, frozen in a wooden pose,
singing as your hair blew away
the woes of the new day to the wind.

A blind bird settled, still wet, at your base,
sat at your toes, and so with kind words
like lace you nestled that bird, brushing ice
from its wings and from its nose.

Blushing twice, you saw it bring
jambul fruit in its poor beak.
And in a hush, under the lamb-wool,
under a thunder’s peak and a sky 
rushed with beetroot rain,
you came and gave shelter to her;
you held close to her with heat to restitute.

In that flame of rest, of a morning sun
neat to its warming wave,
you awoke with the saved bird,
now fleeting from your naked breast. 
And with the arrow drew, 
its tip held to your sacred chest,
you fell with heart engraved, 
blurred with the swell of tears 
as the bird began to depart.
 
By the parting light, a bluebell dove
clears the heights, charting in flight to find
you: the nude mountain. 
Left like a hollow rind,
you watch the hues amount in the well 
of your glowing mind lit in all-colour. ",Poem
09/12/2023,Civil Milk Fund,"We all argued this morning,
talking with tongues crossed,
emblazoned by our discordance.
Still,
we conversed forwards,
full of a milked heart that belongs
between us.

The lab has drowned itself,
submerged into the numbers;
test after test.
Each day in passing is brightened
by the coffee across the road.

Put into office, would you, 
please,
for me,
a mug
brimmed full and steaming
with you to pull and tug away…
lifted from this steel
beating with my breast.

Retreat, and we will stare
transfixed in beige warmth.
The hairs stage their grey
but at least we were civil.",Poem
17/12/2023,The Rondeau of the Knight,"“Arise, my knight, arise anew.”
With heart sword-crossed and split in two,
the knight now arched to find a face
that beared him down with heavenly grace-
the knight returned eyes seeing through.

A well of fire in feeling grew
and sound lay dead on ears withdrew,
the knight remained an image in space-
“Arise, my knight.”

In feigning domnei never true,
and never having held the view,
the knight removed the interlace
of chains set woven in disgrace.
For mortal blood, the dagger drew.
	“Arise, my knight…”",Poem
21/12/2023,Visiting Family in Jordan,"Pass by the baptism of christ 
and head to the River Jordan
there you will see, down by the
water, the flags of neighbours
floating on the wind.

And a young girl will spit at the
sight across the river, with a backdrop of 
military men and a Greek church.
According to the museum,
(where arabic and english words 
fight for space)
they signed a peace treaty here.

Yallah, let’s go is aimed at ears-
the child's face in scope.
But why? 
It is illegal to say these things.

The rifles and stray cats, 
meowing at her feet, are
left behind, put back into the recess
of everyone’s mind. Only for a time.
The rifleman finds a smile while
watching the cat and the girl.

Look first and see across the water.
High in the mountains and eating food,
we watch as the sun sets,
laying a blanket on the land.
But now let’s eat.
Baba, why can’t I hear the bombs?",Poem
23/12/2023,Painted,"Sometimes you appear to me like a vice,
lingering on the outskirts of my thoughts,
balanced precariously on the edge,
waiting for an in, an opening in the mind’s train,
and when you appear you seize me,
completely,
holding on to my every beating pulse.
This is how I want it to feel,
and when you leave, I am left as if a canvas 
has been painted over blank-
but standing and observing,
alone with this nothingness art,
I know that a grand chaos of colours
lives underneath the blank paint.",Poem
27/12/2023,Light Cones,"In short, a common present does not exist: the temporal structure of spacetime is not a stratification of times…
Carlo Rovelli, The Order of Time

An event: a drop of wax
arrives at a wooden floor,
sunk beneath its candle.
A hunter burns whilst
wrestling the desert’s sand 
like a falling star.

The wheel, for now, has stopped
and no water flows beyond the bowl.
Two sets of eyes meet in an envelope
made out of elsewhere.
Here, for a brief moment, they exist,
living with more knowledge
than the limits can hide.

Then they’re pushed along a trajectory,
and if the structure would line itself up
just so,
perhaps they could return to where it began.",Poem
01/01/2024,"Turin, January 1st 2024","The year is in its morning
and the fog is burning off,
revealing foreign alpine heights
like a line of snow-stone wings 
stretched out, still in sight.
The birds of Turin chirp, singing unaware
that the wind of day is sacred,
that time has turned and plunged our heads
cold under uncertain water.
So why should I notice the new day
except to see its evergreens and lake-blue sky
and look to old mountain paths
to find a new way?",Poem
13/01/2024,Illuminating,"A lightbulb lit becomes the centre
though here love holds little.
Love is lost between bedding,
twisted by what we see to be
time stood still.
Take spent sand and look to love-
no sudden switching-on catches
the heart.

The sun is slow in rising,
roused by the beating.
The flowers find pure tones
and trace lovers.
Listen close and clear answers
will grow.

Love is no light nor a point;
more a Signac, swiftly moving,
dot to dot,
affected by each flurry of paint.

Fast you’ll fall like young rose-heads
by loves resting bed,
weighted by the beauty.
The roots have formed
and found a place a paradise
in dawn’s raptured glow.

Bearing themselves nude,
bringing life with only love to offer,
love becomes loving,
spread out in a sea of drifting days.",Poem
16/01/2024,Conchiglie,"I wish that someday
I should become like conchiglie,
and be a vessel for flavour.

I mean that in the most
serious mindfulness, and
with no irony in my eye.

I wish to be like conchiglie,
so that the durum wheat 
runs deep with wonder;
to be saturated in salt.

And like the mollusc shelled
sea snail, may I go slow
through the ocean of my life,
and never find my cusp or well.

And after I have left this
world behind, may my shell
be soaked in sauce,
rich with a warming smell,
and be found anew by a mitching
child in some sandy ground.

So don’t sneer quite so freely
when I say to you in earnest:
I wish to be conchiglie.",Poem
21/01/2024,Audience,"Tonight a theatre will
be swollen in orchestral sound.
Elderly faces still.

Musicians playing grave,
their eyes focused with wearied years,
the practice sunk in them.

Then instruments will stop
and make way for the audience
all clapping out of sync.

Is this the best they can
repay? Maestri aside, I mean 
the art itself. So hoarse;

the human voice in its
reply to life can’t seem to match
the beauty. Who am I

to try to write in words
responses to the world?
A friend, he said: the mind

is complex, nature stands
no competition when it’s called
to arms. And so, perhaps 

it is it that should clap
when we are stood in the sublime
of mountains and the seas.",Poem
11/03/2024,You Must Believe in Spring,"There are days in the future
that are holding an old couple in 
a house, beachside and built strong,
a home filled with artifacts,
each telling fairy tales full of an
enduring love.

There are days in the future
when the coffee will cool on the hob
as they sit with their eyes sea-stuck
waiting for a dolphin to come by,
to wave hello.

There are days in the future
shuffled like a deck of cards,
dealt out to where all you could say 
about the week is that love won
and the score was lost.

There are days in the future
when a sea breeze whispers
a book of youth only to be muffled
by the barricade of a hundred year old
Irish blanket with the wool still soft.

There are days in the future 
that mellow into nights dressed in
a cold from long ago and 
a double set of shoes walk
to the warmth of a pub, wetting 
lips with pints.

There are days in the future
in which the daffodils will grow
an arm's length from the back door
and be lifted to be adored in vases,
put atop stacks of leftover books,
scattered like crumbs in the kitchen.

There are days in the future
where I cannot find myself 
anywhere but resting with you
and your head on my chest
and my heart beating piano with love songs.",Poem
15/03/2024,Old Geography Coat,"I see him in the cloud fog
in his old geography coat
like a bent beast, a wild hog.

The old man of Braeriach
is there in front of me, cloud
and rain heavy on his back.

Seeing right through his spare ghost
skin, hanging loose in a marble
veil, I see the innermost:

his time-tested soul, dying.
But where is my coat? I guess
the morning sky’s been lying.

Hair wet-wicked, a bog land,
feet struck through, I’ll find a pub
and sit waiting for God’s hand.",Poem
01/04/2024,On Love,"To write in love is to will the words 
I love you
into an eternal existence,		
from being held in the heart’s heat to
being heard.				
It is to explore in ink the depths   	
of a cave				
and carve out a gemstone glittering,	
as it has always done, demanding	
air to breath.				
When a wild love leaves the mouth,		
	bounding out,
bright amazement appears at the sight
of the symmetry of it, as if
we thought love
in all light, could never warm our house.

When our awe fades, we find that this love 
lived entwined
with us all along and a gust comes
and glances a thought: the fickle forked
prong that stabs
at the sweet meat of the heart in love.
	In the mind,
the whispering thought wobbles love-hope,
loosens the taught ropes holding it down,
	teething through,
and it is only then that love’s weight 
is felt true.
Bright amazement appears at the sight
of the symmetry of it, as if
we thought love
in all light, could never warm our house.",Poem
10/04/2024,Raspberry Croissant,"Waking with weeping eyes
just because the sun’s too bright.
So you shut the blinds,
cross the street for a croissant and coffee.
The day’s a mirror image
but with minor specks:
dust on the glass.
So you sit and sip at your desk:
computer, monitor, keyboard, mouse.

With fingers like talons,
you tear at the croissant
as the crisp flakes-thin fall in your lap.
Gasping,
the inside is swimming in raspberry jam.
But it’s so much sweeter than you thought.",Poem
11/04/2024,April Pub Scene,"The pub has burst, the people are
pouring out,
with bubbles rising in their beers.
Sat outside:
they’re parked on the kerb and bathing
like pigeons.

Past six: and April’s breath is a
cool eighteen.
The glasses chatter as they knock
and canon
off the cobblestone, wetted with
the wheat beer.

Under an awning-sky awake 
in deep pink,
April promises to pull them
to summer.
So the pliant have walked away 
from their work
and bask lazy like cats under 
April’s beam.",Poem
19/04/2024,Venice,"For Venice, the vice, between lips
a lone rose,
as the air acts its ballet through
the arcades,
and by peach-kissed sky the square blooms
with love’s blows. 

For the heart in haste can’t wait for 
Saint Mark’s Day
so in whisper-soft eve they dance
and drape arms
like soft cloth around each other
as they frey

and weave and waltz on until one.
Then Morn steers
her misty ship to port as red
Venice leans
longing, stretched to lucent sea, with 
waning tears.",Poem
06/08/2024,Evening Tide,"I pledge my love to you.
To you I’m knocked and kneeling-
exhausted, with mine heart beating
rosy hues.
My rivers swell and swelter
as I’m washed up in you, lying in the swash,
presented to you in love’s naked lassitude.
And if Fortune marries my cheek to yours,
let me barrage you with my every breath.
Beneath your shelter I’ll cling,
and in my love you’ll find my servitude. ",Poem
28/09/2024,Vicar,"I dipped into an Irish 
pub in 'Pool's sweet streets
My back bent, mule-heavy,
my smoking breath in heat.

The barmaid lost her ear 
In the Anglo accent
Of my asking but soon
The stout's tap handle lent.

And in a nook I kindled,
Sat besides a vicar
staring vacant, reverent
in his golden liquor.

The whisky washed his throat
and stout warmed my cheek,
so we sat in silence 
each evening through the week.

One dusk drawn eve he gave
his word, sloshed in his speech,
I’m leaving - out he went
to the street having preached.

And so I went for years, 
called to go drink alone,
without that drunk Vicar,
devout to the pub’s drone.

Each winter the sea’s howls
tore blue through Liverpool,
biting between red bricked
houses and the old school.",Poem
21/10/2024,The Writer & Reader,"I am the writer
You are the reader
We are the fleeting cliché moment
Forgotten in an hour a day a month a year
We are the locked interlocutors
Never to hear each other
Like a voice-missile near miss

I am the writer
You are the reader
The one who picked me up
Plucked me out from the myriad of possibilities
We are the ones who cannot turn the page
Alone we face the words

I am the needy shout
You are the drug infested sugar rush
We are commerce’s soft baby
The coffee houses’ resident arsehole
Proud of our stained pages

You are the writer I am the reader
This is the last line",Poem
22/12/2024,Meteorites,"Meteoroids are ancient beyond the meaning
But I've seen one leaving
It's clustered home
It burst the ceiling
Of night-sky feeling 
To burn the evening 
Until the oil ran out
Though a meteor will only last a moment 
Bright against the infinite backdrop
Here's a poem meteorite
Forever, for you.",Poem
02/01/2025,Made Redundant,"I've never seen a cat in a bath
So I guess there ain't no wet cats
Nor have I seen a baby sneeze on a rural path
So I guess babies'll never hear my ""bless you""
You don't believe me and my babbled giggle gaggle
Do you? Do you?
I can't remember sneezing achoo
So I must've never been sick
Isn't that totally hip
Don't believe me? Fuck you, suck my dick!

God made me redundant, lost my job
Guess its to test my faith
Now I hope I don't break my hip 
Whilst fighting down the mob
Whilst wearing a t shirt saying ""I heart Steve Jobs""
Now looky here at how you've smeared
My old money designer gear
With your bloody pagan ear.

And I'm sure you think
How you're so much more cleverer
For telling me off cos I leathered her
But God made her decide to leave
But a divorce is stopable with a belt
Just another test up His sleeve;
Like those children on the news
Rained on, blown up by blighty's bombs.

Now my mate Barry is doing his PhD
Int that great
So why would he lie
And why should I believe you 
When we don't see eye to eye.
So here's to you being unloved and hellbound
Whilst I'm up above 
With my flying pigs in the sky. ",Poem
03/01/2025,Socrates,"Socrates once said:
""I know that I know nothing""
And that's really something
But it can never be laid to bed
For the set of uncertainty
Contains Socrates
Thus the conflict appears
So we can not cross our Ts

And yet those who proclaim knowledge
Get to reign
Without wearing
The paradoxical crown of thorns.",Poem
03/01/2025,No New Material,"May the sacred so contrived
By the earthly need to stay alive
Fill my bosom like holy wine.

Blessed be my body's flesh
For allowing the flow so fresh
Of experience unto my eyes till death.

For I am the universe itself
Looking upon it's ancient wealth
May I live forever in divine health.

My quantum atoms made immortal
Catch the eternal breath of all
In the winds my voice will stand tall.

When you see no parts distinct
May you find from the brink
No boundary on which to think.

Let our end be the mere reformation
Of the material now in new relation
And we'll find in the soil true divination.",Poem
03/01/2025,No Crib for a Bed,"Lips of the dehydrated
Lost the war last night
After he stated lightly
That life is a construct
That cells unconscious 
Bind making a strand of
Intertwined DNA which
We today can alter and
Change if it so falters.

The rhetoric in the boozer
Has become one of winners
And of losers of talk gone
Toxic and fallen from the
Grace of seeing face to face.

I have seen the pint
Turn into a weapon
And been upon the
Point of fire of burnt
Tongues scolded by
Dogma so goodbye
To the hot headed 
Talk of who should
Be the next England
Manager for a boy
In a manger changed
Our pub for good.",Poem
03/01/2025,Love Language,"The words feel like they get in the way
As if they're full of tar and float
From my lips then fall before they reach yours
Maybe that's why humans invented kissing
So that there's no need for words
Only a pure expression of love from one to another",Poem
03/01/2025,Inscription,"Let it be that you wander
upon my gravestone
And find in mental flounder
No meaningful home -

Besides that which lies alive
In your beating heart -
Alongside all rainbow skies -
Eternal from the start",Poem
03/01/2025,Holy Coffee Cup,"At work there are many cups,
Each accompanied
By company name,
But if mine's there I'm in luck.

Only one cup is orange,
My favourite colour,
So I favour it
For my morning coffee binge.

It must align with my self,
My identity,
And I dare not see
Such that it's not on the shelf.

If it's not there I'll grow pale,
My heart'll divide,
For its my divine
Coffee cup made Holy Grail.",Poem
04/01/2025,Infinity,"I do not exist
Yet I believe that I do
For infinity over zero, one
Or even two
Leads me back to the start
And so it is in this paradox
Unshakable and true
That torments my heart
So whilst I play this small part
May I pause here to say
How it is you
That steadies my heart.",Poem
05/01/2025,Dinner Party Tapestry,"My memory is but a series of dog-ears,
Dwellings to return to,
Full of the most miraculous shining things,
Ready to be re-read at any of the myriad
of present moments made available by my standing form within it.
And as I move through with a flicking thumb
Past each day's sun rise and set
Let my wise side pause to dog-ear those days most precious.
May you join me around the table to take another's seat and throw the books from off the shelf
So they may be the tablecloth off of which we eat
Here let's drink to our good health and spill the wine over the pages torn loose
The pages are all already there.
For now
we have made a tapestry for the ages.",Poem
17/01/2025,Twenty-Three Years,"If I told you that for as many years
As twenty-three
I had been studying the letter A
It'd be, at the very least, fair to say,
That I might be an expert by now,
That I could tell you to the day
Whenever it was that A was invented,
What A means and from it's existence
What the linguist could possibly glean,
Or how I might find a yoke to tie it to a T
To form further words and find myself at.

Yet no matter how long I say I've studied myself
I find I'm none the wiser as I keep on changing
Only noticing a deteriorating health.",Poem
20/01/2025,Lord Kitchener’s Grandson,"Lord Kitchener's grandson told me
My company needed me
Outside a pub in a town he called planned.
Lord Kitchener's grandson said
My working hard would give our country
An upper hand.
I called his town a meal deal supper
Only that it's like spam and has been canned.
So I drank my drink and took his too
And that's when I saw the sword he drew.
Lord Kitchener's grandson slashed my wages
With a quick one two
I was his foil and this we both knew.
So I walked home happy with the money
To buy a couple pints
In my adidas kicks
And to iron the creases in my Manchester kecks.
Sure my pockets had holes in but I had three fleeces
And at least Lord Kitchener's grandson can never fleece me of my niece.",Poem
27/01/2025,Mr Blue Suit,"Mr Blue Suit with his navy tie
Just lost his wife
His blessed Britannia
She's living a new life
With the young student down the road
She loves Her
She's inside you wife Britannia
In ways you couldn't describe
And no amount of pride will bring her back
You can try and bribe but you've lost
Your Britannia she has a new bride

Mr Blue Suit what about your young ones
Your youthful ties have turned their necks
They've given papa his goodbye pecks
And I hear they're having happy babies
Your old wife and Her
Jobless babies still on soft smash
Avocado babies suckling on coffee
Refusing to wear the sash
I saw your old Britannia and Her
Crying in the museum till her tears made a sea
I saw them swim in an embrace
And go home for afternoon tea.

Then I watched as you stood outside
Face pressed to the window pane
With an expression grotesque yelling hell for the ages
For past ways back in the days without gays
And that's when it rained
Mr Blue Suit you're soaked right through
Go home now
Even the clouds have had enough of you.

But this is my home you cry
With your head held up bleating slurs to the sky
The doors locked
The pistols cocked
And you've been knocked
So out you go shipped on a plane
Back to a place you've never been
All because of your race you've never seen
Mr Blue Suit your navy has sunk you.

Don't fret I heard your King will save you
Just as God did
Scooped up into mummy's arms
There there baby Blue Suit
The monarchy's got you
Open wide
Here comes the private train toot toot
Oh what's that don't worry about your bride
Here's some pocket money for you to hide
Come on stop it honey don’t cry
Mummy monarchy is by your side.

I thought Mr Blue Suit was tucked up in bed
Turns out the reaper spared his head
Now there's riots calling for more people to be dead
Looks like business is booming
And the bank's showing growth
The landlord's taken Ken's roof
Look how his envy grows 
Just another fuming oaf

Poor Britannia can't file for divorce
The lawyers got her neck by force
Mr Blue Suit has her penned
That’s when I saw him lean over to whisper
We're in this to the end.",Poem
